#separator:tab
#html:false
O que significa PSV?	Platform Supply Vessel.
Que apoio o ROV pode dar em operações com âncoras?	Pode dar apoio às operações com manuseio de âncoras.
O que é um ROV?	É um robô de operação remota.
Quais sistemas e recursos são destacados no ROV?	Sistema de câmeras, PRS, sonar e autonomia de controle para uso de ferramentas.
O que é o Tether de um ROV?	É o cabo secundário, mais fino, que conecta o ROV ao TMS.
Quais são as principais funções do Tether?	Transmitir energia elétrica, permitir o controle remoto do ROV, reduzir a influência da corrente e absorver o peso, reduzindo a sobrecarga no cabo principal.
Por que o Tether é importante para a mobilidade do ROV?	Ele confere mobilidade fina, ideal para inspeção e intervenções subsea.
O que é o TMS?	É o Tether Management System, responsável por gerenciar, armazenar e controlar o tether.
A que o TMS conecta o tether?	O tether conecta o ROV ao sistema principal de lançamento por meio do gerenciamento feito pelo TMS.
O que a garagem do ROV pode ter?	Pode ter TMS ou não ter TMS.
O que a garagem com TMS abriga?	Abriga o tambor do tether.
Quais são as funções do TMS Top-hat?	Armazenar o tether em um pequeno tambor interno, pagar e recolher o tether, reduzir o esforço no ROV e melhorar a estabilidade.
Como é o TMS do tipo gaiola?	É o modelo mais comum, com estrutura semelhante a uma gaiola metálica.
Quais são as funções do TMS do tipo gaiola?	Proteger o ROV durante a descida e a subida e funcionar como ponto intermediário entre o umbilical principal e o ROV.
O que é um AOV?	É o Autonomous Observation Vehicle, um veículo submarino autônomo sem cabo umbilical.
Para que o AOV é usado principalmente?	Para inspeções visuais, coleta de dados ambientais, mapeamento e reconhecimento.
Como o AOV se diferencia do ROV quanto à forma de operação?	O AOV navega de forma programada ou semi-autônoma, enquanto o ROV é pilotado em tempo real.
Quais são as principais características do AOV?	Não usa tether, utiliza baterias internas e navegação autônoma, realiza missões pré-programadas e tem foco em observação.
O que significa DSV?	Diving Support Vessel.
Qual é a principal finalidade de um DSV?	Dar apoio logístico e técnico às operações de mergulho.
Que tipos de mergulho podem ser apoiados por um DSV?	Mergulho raso ou profundo.
Quantas pessoas podem estar a bordo de um DSV (POB)?	O POB pode chegar a 200 pessoas.
Quais são as principais características de um DSV?	Câmara hiperbárica, sino ou sinete, compressores de ar, guindaste ou similares, barco de apoio e sistema de comunicação submarina.
Quais operações são realizadas com apoio de um DSV?	Inspeções, manutenções, soldas, pull in/pull out e limpezas de caixa de mar de U.M.'s e riser.
Qual é a profundidade máxima indicada para o mergulho saturado no material?	350 m.
Por que o mergulho saturado envolve isolamento em câmara hiperbárica?	Porque a operação envolve altas pressões e confinamento entre câmara, sino e mar.
Quais riscos são associados ao mergulho saturado?	Ataque de vida marinha, altas pressões, exposição a predadores e doenças cumulativas.
Quais consequências à saúde são citadas para o mergulho saturado?	Surdez, osteoporose, alteração na voz, traumas faciais e dentais, embolia, hipotermia e HPNS.
Qual é a profundidade indicada para o mergulho raso?	Até 50 m.
Quais riscos são citados no mergulho raso?	Contato com predadores, ações de corrente, fadiga e defeito de equipamentos.
Como pode ser fornecido o ar comprimido no mergulho raso?	Por equipamento autônomo ou dependente.
Que embarcação de apoio é citada para o mergulho raso?	Barco de apoio (LDB).
Qual é a função do sino no apoio aos mergulhadores?	Suprir ar aos mergulhadores e transportá-los até o local de trabalho, além de fornecer água de arrefecimento.
Quais são os tipos de sino?	Livre, autônomo e semiautônomo.
O que é o sinete no contexto do DSV?	Uma alternativa para o barco de apoio.
Para que serve o sinete?	Para transporte até as proximidades do local, a mais de 15 m; pode haver um no local de trabalho e um sinete.
Que apelido é associado ao sinete no material?	Sardinha.
Quais verificações devem ser realizadas antes da operação com o mergulhador?	Inspeções pré-operação e ensaios de recuperação do mergulhador.
Que cuidados são indicados para a câmara hiperbárica?	Regulagem da câmara e controle do tempo de permanência.
O que significa OSRV?	Oil Spill Recovery Vessel.
Qual é a principal finalidade do OSRV nas operações?	Atuar na resposta a derramamentos de óleo e em situações de emergência.
Quais são as principais etapas apresentadas para uma operação de derramamento de óleo com OSRV?	Identificação, definição do tipo de óleo, confinamento com barreira, remoção com skimmer/equipamento e armazenamento em tanque.
Para que serve a barreira de contenção em uma operação de derramamento de óleo?	Para confinar o óleo em uma área controlada, permitindo sua remoção.
O que é o Boomvane?	É um acessório utilizado para “abrir” a barreira.
Quais estratégias de formação podem ser utilizadas no lançamento da barreira?	Formações em “J”, “U” ou “V”.
O que é feito depois que o óleo é confinado pela barreira?	Utilizam-se skimmers para remover o óleo da área contida.
Qual é a função dos skimmers na operação de derramamento de óleo?	Remover, por sucção, a substância nociva da área contida.
Quais são as três ações destacadas na operação de recuperação de óleo?	Lançamento, sucção e bombeamento.
Quais equipamentos são apresentados para detecção de manchas de óleo?	Radar, sensores infravermelhos e câmeras ópticas.
Quais características de segurança são apresentadas para as embarcações OSRV?	Prontidão para respostas à emergência e sistemas blindados para evitar a produção de faíscas.
Além da recuperação de óleo, quais outras atividades são apresentadas para o OSRV?	Resgate de náufragos e reboque de embarcações à deriva.
Qual sistema de combate a incêndio pode estar presente no OSRV?	O sistema Fire-Fighting (FiFi), cuja configuração é definida pela classe.
O que é um Navio Aliviador (Shuttle Tanker)?	É o navio utilizado para transportar petróleo e derivados das FPSO ou FSO.
Quais são os dois tipos de operação do Navio Aliviador?	Operação convencional e operação DP.
Quais são as principais características de um Navio Aliviador?	Grandes dimensões, tanques de grandes volumes, grande autonomia, capacidade de manobra reduzida e Green line.
Como são realizadas as operações convencionais do Navio Aliviador?	São realizadas à luz do dia e dependem de embarcações auxiliares para manobra, como rebocadores e/ou AHTSs LH.
O que é o BLS (Bow Loading System)?	É o sistema de transferência de óleo pela proa, utilizando o mangote principal.
Qual é a função do BLS no Navio Aliviador?	Permitir a conexão segura do mangote principal, que possui maior vazão.
Quais Navios Aliviadores possuem BLS?	Todos os aliviadores DP possuem BLS.
Na operação DP, o Navio Aliviador pode utilizar o mangote alternativo da U.M.?	Sim, se tiver rebocador auxiliar.
Em que situação os AHTSs podem auxiliar na conexão e desconexão dos mangotes?	Em condições de mar grosso.
Quando pode haver solicitação de AHTS durante a operação?	Quando houver solicitação do Comandante.
O que é considerado um comboio?	Plataforma + Shuttle + AHTS.
O que significa PLSV?	Pipe Laying Support Vessel.
Qual é a função principal de um PLSV?	Realizar o lançamento de linhas ou dutos flexíveis e rígidos.
Quais tipos de linhas um PLSV pode lançar?	Linhas ou dutos flexíveis e rígidos, com um ou mais sistemas de lançamento.
Para que serve o PLSV na interligação offshore?	Para interligar poços a plataformas de produção e transferência.
Quais são as principais características de um PLSV?	Carrossel ou cestas, bobinas, tensionadores, guindastes subsea, torre de lançamento e ROV.
Quando pode ocorrer o abandono de uma linha durante a operação?	Em situações como mau tempo, para evitar avarias no sistema.
O que é a operação de abandono e recolhimento de linha?	É deixar ou recolher linhas abandonadas, inclusive em situações de emergência.
Com qual tipo de embarcação o PLSV pode realizar SIMOPS?	Com SDSV.
Qual é a função das bobinas no PLSV para duto flexível?	Armazenar e realizar testes de linhas.
Qual é a função da torre de lançamento?	É a área principal do PLSV e assume configurações diferentes conforme o método de lançamento.
Qual é a função do hatch de lançamento?	Permitir o lançamento da linha.
Quantos guindastes subsea/offshore um PLSV pode ter?	Pode haver mais de um.
Quais são os principais riscos destacados nas operações do PLSV?	Alta complexidade, sistemas sob tensão, danos ao patrimônio, danos ambientais e erros humanos.
Que tipos de danos ao patrimônio podem ocorrer nas operações do PLSV?	Danos a estruturas submarinas e unidades.
Quais tipos de operações ocorrem no offshore?	Petróleo e gás; eólica offshore; transporte marítimo;  logística; pesca e aquicultura; produção de alimentos;  pesquisa científica; defesa e segurança.
Quais são os principais tipos de unidades offshore apresentados no material?	Fixas, móveis, flutuantes, de apoio e especiais.
Quais são os tipos de poços apresentados no material?	Poço vertical e poço direcional.
Quais são características estruturais do navio-sonda?	Possui propulsão e torre de perfuração no convés.
Quais são as principais características de um Flotel?	Possui propulsão em DP, geração de energia, hotelaria e capacidade de manutenção.
Quais unidades são adequadas para águas profundas acima de 1.500 m, segundo o material?	Semissubmersível, navio-sonda e Spar.
